atmos;2011-09-11/2011-10-05;2011-10-05/2011-10-25;2011-11-05/2011-11-07;2011-11-08/2011-11-14;2011-11-15/2011-11-18;2011-11-18/2011-11-22;2011-11-22/2011-11-25;2011-11-25/2011-11-28;2011-11-28/2011-12-01;2011-12-02/2011-12-06;2011-12-07/2011-12-12;2011-12-12/2011-12-15;2011-12-15/2011-12-19;2011-12-19/2011-12-21;2011-12-21/2011-12-23;2011-12-23/2012-01-04;2012-01-05/2012-01-09;2012-01-09/2012-01-11;2012-01-12/2012-01-15;2012-01-18/2012-01-20;2012-01-20/2012-01-26;2012-01-26/2012-02-01;2012-02-01/2012-02-04;2012-02-04/2012-02-06;2012-02-06/2012-02-15;2012-02-17/2012-02-28;2012-02-28/2012-03-01;2012-03-02/2012-03-08;2012-03-08/2012-03-13;2012-03-13/2012-03-30;2012-03-30/2012-04-04;2012-04-04/2012-04-06;2012-04-06/2012-04-23;2012-04-23/2012-04-26;2012-04-27/2012-05-04;2012-05-05/2012-07-24;2012-07-24/2012-08-15;2012-08-15/2012-10-03;2012-10-03/2012-10-09;2012-10-10/2012-10-29;2012-10-29/2012-12-03;2012-12-03/2013-01-09;2013-01-09/2013-01-11;2013-01-11/2013-03-01;2013-03-01/2014-03-17;2014-03-17/2020-01-15
holman;2011-09-27/2011-10-26;2011-10-26/2011-11-07;2011-11-08/2011-11-11;2011-11-11/2012-03-19;2012-03-19/2012-04-26;2012-04-26/2013-02-04;2013-02-04/2020-01-15
sferik;2011-10-25/2020-01-15
berg;2011-11-14/2020-01-15
codec;2011-11-17/2014-06-30;2014-06-30/2020-01-15
alexpgates;2011-11-18/2020-01-15
ajacksified;2011-11-19/2011-11-22;2011-11-22/2011-12-28;2011-12-29/2012-07-10;2012-07-12/2012-07-25;2012-07-25/2013-04-05;2013-04-05/2013-04-09;2013-04-09/2020-01-15
joshuaflanagan;2011-11-22/2020-01-15
kennethkalmer;2011-11-24/2020-01-15
toabi;2011-11-24/2020-01-15
pingles;2011-11-25/2020-01-15
tombell;2011-11-26/2011-11-29;2011-12-04/2011-12-06;2011-12-06/2011-12-08;2011-12-10/2011-12-13;2011-12-14/2011-12-18;2011-12-18/2011-12-20;2011-12-20/2011-12-22;2011-12-24/2011-12-27;2011-12-30/2012-01-04;2012-01-06/2012-01-11;2012-01-11/2012-01-13;2012-01-13/2012-01-15;2012-01-16/2012-01-18;2012-01-20/2012-01-24;2012-01-24/2012-01-27;2012-01-28/2012-01-30;2012-01-30/2012-02-02;2012-02-10/2012-02-14;2012-02-14/2012-02-16;2012-02-16/2012-02-18;2012-02-18/2012-02-20;2012-02-20/2012-02-22;2012-02-25/2012-03-01;2012-03-01/2012-03-04;2012-03-07/2012-03-10;2012-03-10/2012-03-12;2012-03-22/2012-03-24;2012-03-24/2012-03-27;2012-03-28/2012-03-30;2012-03-30/2012-04-05;2012-04-06/2012-04-09;2012-04-13/2012-04-15;2012-04-18/2012-04-20;2012-04-21/2012-04-25;2012-04-26/2012-04-30;2012-04-30/2012-05-03;2012-05-04/2012-05-07;2012-05-11/2012-05-14;2012-05-15/2012-05-17;2012-05-18/2012-05-22;2012-05-24/2012-05-26;2012-06-01/2012-06-03;2012-06-10/2012-06-12;2012-06-12/2012-06-15;2012-06-15/2012-06-18;2012-06-18/2012-06-21;2012-06-21/2012-06-24;2012-07-02/2012-07-04;2012-07-06/2012-07-09;2012-07-11/2012-07-17;2012-07-20/2012-07-23;2012-07-23/2012-07-25;2012-07-26/2012-07-28;2012-07-28/2012-08-01;2012-08-09/2013-01-10;2013-01-11/2013-01-18;2013-01-18/2013-01-22;2013-01-23/2013-02-21;2013-02-21/2013-03-09;2013-03-09/2013-03-12;2013-03-14/2013-04-09;2013-04-09/2013-06-08;2013-06-08/2013-06-18;2013-06-19/2013-06-21;2013-06-22/2013-06-25;2013-06-25/2013-06-27;2013-06-28/2013-07-04;2013-07-04/2013-07-06;2013-07-07/2013-07-10;2013-07-10/2013-07-13;2013-07-14/2013-07-16;2013-07-17/2013-08-09;2013-08-10/2013-08-13;2013-08-13/2013-08-19;2013-08-19/2013-08-21;2013-08-30/2013-09-01;2013-09-03/2013-09-05;2013-09-06/2013-09-10;2013-09-10/2013-09-12;2013-09-12/2013-09-14;2013-09-15/2013-09-17;2013-09-19/2013-09-21;2013-09-22/2013-09-24;2013-09-25/2020-01-15
blardo;2011-11-28/2014-08-06;2014-08-06/2020-01-15
skimbrel;2011-11-29/2020-01-15
caleywoods;2011-11-29/2011-12-01;2011-12-01/2020-01-15
iangreenleaf;2011-11-30/2011-12-14;2011-12-14/2012-01-04;2012-01-04/2012-01-27;2012-01-27/2012-02-04;2012-02-04/2012-03-02;2012-03-03/2012-03-05;2012-03-05/2012-03-19;2012-03-19/2012-05-03;2012-05-03/2012-05-29;2012-05-29/2012-06-27;2012-06-27/2012-07-02;2012-07-02/2012-07-20;2012-07-20/2012-08-03;2012-08-03/2012-12-20;2012-12-20/2013-01-31;2013-01-31/2013-03-02;2013-03-02/2013-06-13;2013-06-13/2013-06-21;2013-06-21/2013-06-25;2013-06-25/2013-07-10;2013-07-10/2013-09-10;2013-09-10/2020-01-15
jimmycuadra;2011-11-30/2020-01-15
lackac;2011-12-01/2012-03-11;2012-03-12/2020-01-15
crofty;2011-11-30/2020-01-15
tommeier;2011-12-02/2020-01-15
jwright;2011-12-02/2020-01-15
gshutler;2011-12-03/2020-01-15
jmalonzo;2011-12-04/2020-01-15
jgv;2011-12-06/2020-01-15
jacksonj04;2011-12-06/2012-03-16;2012-03-16/2020-01-15
noahhendrix;2011-12-07/2020-01-15
jrob00;2011-12-09/2020-01-15
EnriqueVidal;2011-12-10/2011-12-15;2011-12-15/2012-01-05;2012-01-05/2012-02-03;2012-02-03/2012-08-28;2012-08-28/2013-09-18;2013-09-18/2020-01-15
airborn;2011-12-10/2011-12-13;2011-12-13/2020-01-15
cgarvis;2011-12-12/2020-01-15
harukizaemon;2011-12-18/2020-01-15
sr;2011-12-20/2012-06-24;2012-06-24/2020-01-15
owenthereal;2011-12-20/2012-03-08;2012-03-08/2012-03-13;2012-03-13/2020-01-15
felipecsl;2011-12-20/2020-01-15
vquaiato;2011-12-23/2012-01-11;2012-01-12/2020-01-15
fellix;2011-12-23/2020-01-15
athieriot;2011-12-24/2020-01-15
marciotoshio;2011-12-24/2020-01-15
galfert;2011-12-27/2012-08-19;2012-08-19/2020-01-15
dlinsin;2011-12-30/2012-02-10;2012-02-10/2012-02-22;2012-02-22/2020-01-15
garethr;2012-01-02/2012-01-06;2012-01-06/2020-01-15
robhurring;2011-12-23/2012-01-28;2012-01-28/2020-01-15
kimf;2012-01-09/2020-01-15
andres-torres-marroquin;2012-01-13/2020-01-15
walkah;2012-01-15/2020-01-15
smgt;2012-01-16/2012-02-07;2012-02-07/2012-05-10;2012-05-10/2013-04-03;2013-04-03/2020-01-15
danielcbaldwin;2012-01-17/2020-01-15
chrismatthieu;2012-01-17/2020-01-15
chids;2012-01-17/2014-02-17;2014-02-17/2020-01-15
john-griffin;2012-01-18/2012-04-26;2012-04-26/2020-01-15
zenhob;2012-01-19/2020-01-15
francois2metz;2012-01-19/2012-05-09;2012-05-09/2020-01-15
skanev;2012-01-20/2020-01-15
mm53bar;2012-01-23/2020-01-15
dustyburwell;2012-01-24/2013-03-06;2013-03-06/2020-01-15
edufelipe;2012-01-26/2020-01-15
bowilliams;2012-01-27/2020-01-15
marten;2012-01-27/2012-01-31;2012-01-31/2012-02-05;2012-02-05/2020-01-15
henrrrik;2012-01-30/2020-01-15
aalvarado;2012-01-30/2020-01-15
lmarburger;2012-02-01/2013-02-04;2013-02-04/2020-01-15
dvdsgl;2012-02-06/2020-01-15
rwc9u;2012-02-04/2012-02-06;2012-02-06/2020-01-15
brianmichel;2012-02-04/2012-03-07;2012-03-07/2020-01-15
alexgodin;2012-02-06/2020-01-15
aanoaa;2012-02-08/2012-10-26;2012-10-26/2020-01-15
lewinski;2012-02-09/2020-01-15
artfuldodger;2012-02-15/2020-01-15
tenfef;2012-02-16/2020-01-15
jonrohan;2012-02-17/2020-01-15
jamesgolick;2012-02-20/2020-01-15
zackyap;2012-02-20/2020-01-15
jrusbatch;2012-02-22/2020-01-15
gabeguz;2012-02-22/2020-01-15
jsurdilla;2012-02-24/2020-01-15
trobrock;2012-02-25/2020-01-15
codahale;2012-02-28/2020-01-15
kleinmann;2012-03-01/2020-01-15
rafaelfranca;2012-03-01/2012-11-19;2012-11-19/2020-01-15
karlfreeman;2012-03-01/2020-01-15
vanetix;2012-03-03/2020-01-15
rcs;2012-03-05/2020-01-15
amaltson;2012-03-05/2012-04-02;2012-04-02/2012-04-06;2012-04-06/2013-01-06;2013-01-06/2020-01-15
phlipper;2012-03-06/2020-01-15
jmoses;2012-03-06/2020-01-15
davetron5000;2012-03-08/2020-01-15
bjeanes;2012-03-13/2020-01-15
mps;2012-03-16/2020-01-15
wubr;2012-03-15/2020-01-15
logikal;2012-03-18/2020-01-15
rrix;2012-03-18/2012-03-20;2012-03-20/2020-01-15
jamespaulmuir;2012-03-19/2020-01-15
hashbrowncipher;2012-03-22/2013-02-21;2013-02-21/2013-02-24;2013-02-24/2020-01-15
teo-sk;2012-03-24/2020-01-15
kylefritz;2012-03-27/2020-01-15
robertoaloi;2012-03-30/2020-01-15
danielmurphy;2012-04-02/2020-01-15
elliotttf;2012-04-03/2012-05-05;2012-05-05/2012-06-25;2012-06-25/2020-01-15
coyled;2012-04-06/2013-10-07;2013-10-07/2020-01-15
gstark;2012-04-10/2012-08-25;2012-08-25/2020-01-15
bryckbost;2012-04-10/2020-01-15
adamclerk;2012-04-11/2020-01-15
jimeh;2012-04-16/2012-04-19;2012-04-19/2012-05-30;2012-05-30/2020-01-15
adunkman;2012-04-18/2020-01-15
caged;2012-04-18/2020-01-15
madtimber;2012-04-20/2020-01-15
dylanegan;2012-04-20/2012-06-05;2012-06-05/2012-06-21;2012-06-21/2020-01-15
crimsonknave;2012-04-21/2020-01-15
d0ugal;2012-04-23/2020-01-15
jroes;2012-04-24/2020-01-15
zbowling;2012-04-30/2020-01-15
xenph;2012-05-02/2020-01-15
obfuscurity;2012-05-02/2020-01-15
Iristyle;2012-05-04/2012-05-17;2012-05-18/2012-06-08;2012-06-08/2012-08-22;2012-08-23/2012-11-06;2012-11-06/2013-01-04;2013-01-04/2013-01-09;2013-01-10/2013-01-12;2013-01-12/2013-01-14;2013-01-14/2013-01-18;2013-01-18/2020-01-15
gregmac;2012-05-04/2012-05-08;2012-05-08/2012-05-10;2012-05-11/2012-11-23;2012-11-23/2013-09-13;2013-09-13/2020-01-15
GantMan;2012-05-07/2020-01-15
mwongatemma;2012-05-08/2013-01-21;2013-01-21/2013-02-08;2013-02-08/2020-01-15
axiom;2012-05-08/2020-01-15
aw;2012-05-09/2013-09-01;2013-09-01/2020-01-15
luckyllama;2012-05-09/2020-01-15
pgieser;2012-05-11/2020-01-15
lavelle;2012-05-14/2020-01-15
christianmarth;2012-05-17/2020-01-15
juno;2012-05-23/2020-01-15
aroben;2012-05-24/2020-01-15
adtaylor;2012-05-26/2012-05-28;2012-05-28/2020-01-15
technicalpickles;2012-05-26/2012-06-01;2012-06-01/2012-06-09;2012-06-09/2012-07-13;2012-07-13/2012-08-31;2012-08-31/2012-09-05;2012-09-05/2012-09-08;2012-09-08/2012-10-20;2012-10-20/2012-10-27;2012-10-27/2012-11-02;2012-11-02/2012-11-06;2012-11-06/2012-12-10;2012-12-10/2012-12-15;2012-12-15/2012-12-24;2012-12-24/2013-02-24;2013-02-24/2013-03-09;2013-03-09/2013-03-29;2013-03-29/2013-04-11;2013-04-12/2013-05-01;2013-05-02/2013-05-09;2013-05-09/2013-05-18;2013-05-18/2013-05-21;2013-05-21/2013-06-03;2013-06-03/2013-06-18;2013-06-18/2013-06-20;2013-06-21/2013-06-24;2013-06-25/2013-07-18;2013-07-19/2013-07-21;2013-07-23/2013-07-29;2013-07-31/2013-08-06;2013-08-08/2013-08-12;2013-08-12/2013-08-19;2013-08-19/2013-08-22;2013-08-22/2013-09-03;2013-09-03/2013-09-06;2013-09-06/2013-09-10;2013-09-10/2013-10-05;2013-10-05/2013-10-07;2013-10-08/2013-10-10;2013-10-11/2013-10-15;2013-10-15/2013-10-19;2013-10-19/2013-10-22;2013-10-22/2013-10-28;2013-10-29/2013-10-31;2013-10-31/2013-11-12;2013-11-13/2013-11-25;2013-11-25/2013-12-02;2013-12-03/2013-12-09;2013-12-09/2013-12-16;2013-12-18/2014-01-05;2014-01-05/2014-01-09;2014-01-10/2014-01-13;2014-01-15/2014-01-23;2014-01-23/2014-01-27;2014-01-28/2014-01-31;2014-01-31/2014-02-03;2014-02-06/2014-02-08;2014-02-08/2014-02-10;2014-02-14/2014-02-16;2014-02-17/2014-02-19;2014-02-19/2014-02-21;2014-02-21/2014-03-10;2014-03-10/2014-03-18;2014-03-18/2014-03-24;2014-03-24/2014-03-26;2014-03-27/2014-04-01;2014-04-01/2014-04-03;2014-04-03/2014-04-05;2014-04-06/2014-04-08;2014-04-09/2014-04-15;2014-04-16/2014-04-21;2014-04-21/2014-04-24;2014-04-24/2014-04-29;2014-04-29/2014-05-05;2014-05-05/2014-05-07;2014-05-07/2014-05-19;2014-05-20/2014-05-22;2014-05-22/2014-05-27;2014-05-27/2014-05-31;2014-05-31/2014-06-04;2014-06-04/2014-06-06;2014-06-06/2014-06-09;2014-06-11/2014-06-16;2014-06-17/2014-06-23;2014-06-24/2014-07-02;2014-07-03/2014-07-07;2014-07-10/2014-07-21;2014-07-21/2014-07-29;2014-07-29/2014-07-31;2014-07-31/2014-08-04;2014-08-04/2014-08-11;2014-08-11/2014-08-15;2014-08-15/2014-08-19;2014-08-19/2014-08-22;2014-08-22/2014-08-25;2014-08-26/2014-09-02;2014-09-04/2014-09-08;2014-09-08/2014-09-19;2014-09-19/2014-09-25;2014-09-25/2014-09-29;2014-09-29/2014-10-06;2014-10-06/2014-10-08;2014-10-08/2014-10-13;2014-10-13/2014-10-20;2014-10-20/2014-10-30;2014-10-31/2014-11-07;2014-11-07/2014-11-25;2014-11-25/2014-12-01;2014-12-01/2014-12-04;2014-12-04/2014-12-22;2014-12-22/2015-01-05;2015-01-05/2015-02-12;2015-02-12/2015-03-02;2015-03-02/2015-04-09;2015-04-09/2015-04-19;2015-04-19/2015-05-27;2015-05-27/2015-06-05;2015-06-06/2015-06-08;2015-06-08/2015-07-17;2015-07-17/2015-08-12;2015-08-12/2016-05-06;2016-05-06/2016-05-12;2016-05-12/2016-05-16;2016-05-16/2016-10-13;2016-10-13/2016-11-10;2016-11-10/2020-01-15
cubanx;2012-05-29/2020-01-15
nparry;2012-05-28/2012-05-31;2012-06-01/2020-01-15
mcollina;2012-05-28/2020-01-15
tinifni;2012-05-29/2012-07-20;2012-07-20/2014-03-27;2014-03-27/2020-01-15
OleMchls;2012-05-29/2012-05-31;2012-05-31/2012-08-15;2012-08-15/2012-08-22;2012-08-22/2012-08-24;2012-08-24/2013-03-15;2013-03-15/2014-05-05;2014-05-05/2020-01-15
plytro;2012-05-31/2020-01-15
sirkitree;2012-06-07/2020-01-15
bobanj;2012-06-15/2020-01-15
marioBonales;2012-06-21/2013-01-18;2013-01-18/2020-01-15
houndbee;2012-06-21/2020-01-15
vosechu;2012-06-21/2012-07-26;2012-07-26/2020-01-15
rafael;2012-06-25/2020-01-15
aaronbassett;2012-06-26/2020-01-15
nhodges;2012-06-29/2020-01-15
bobwilliams;2012-06-30/2020-01-15
CedricGatay;2012-07-01/2020-01-15
chrisgoddard;2012-07-02/2020-01-15
equilateral;2012-07-05/2020-01-15
kennu;2012-07-06/2020-01-15
guyoron;2012-07-10/2012-07-19;2012-07-19/2020-01-15
beneidel;2012-07-17/2012-07-20;2012-07-20/2013-01-04;2013-01-04/2013-02-13;2013-02-13/2013-07-13;2013-07-13/2020-01-15
joshfrench;2012-07-17/2012-07-19;2012-07-19/2012-08-04;2012-08-04/2020-01-15
Austin7137;2012-07-20/2012-08-15;2012-08-15/2020-01-15
lincsanders;2012-07-23/2013-08-22;2013-08-22/2020-01-15
danishkhan;2012-07-24/2020-01-15
jessedearing;2012-07-25/2020-01-15
paulca;2012-07-28/2020-01-15
morgoth;2012-08-01/2013-08-28;2013-08-28/2020-01-15
rafacv;2012-08-01/2020-01-15
sopel;2012-08-02/2012-08-21;2012-08-21/2012-11-09;2012-11-09/2012-12-15;2012-12-15/2020-01-15
micahlmartin;2012-08-05/2020-01-15
smerrill;2012-08-06/2020-01-15
brettlangdon;2012-08-06/2020-01-15
ndrake;2012-08-07/2020-01-15
jlee-0;2012-08-08/2020-01-15
beezee;2012-08-09/2020-01-15
abhshkdz;2012-08-09/2020-01-15
joelongstreet;2012-08-09/2012-08-31;2012-08-31/2020-01-15
mbleigh;2012-08-10/2020-01-15
zacechola;2012-08-15/2013-07-19;2013-07-19/2013-07-23;2013-07-23/2020-01-15
aoiwelle;2012-07-25/2013-01-23;2013-01-23/2020-01-15
smathy;2012-08-15/2020-01-15
ticean;2012-08-18/2020-01-15
mwilc0x;2012-08-29/2020-01-15
javierg;2012-08-29/2020-01-15
Holek;2012-09-03/2012-12-17;2012-12-18/2020-01-15
jhubert;2012-09-05/2012-09-08;2012-09-08/2013-08-10;2013-08-10/2013-08-26;2013-08-26/2020-01-15
abh1nav;2012-09-08/2020-01-15
take;2012-09-08/2020-01-15
sachinr;2012-09-18/2012-09-26;2012-09-26/2012-10-04;2012-10-04/2020-01-15
azizshamim;2012-09-18/2020-01-15
wesgibbs;2012-09-17/2020-01-15
ricardochimal;2012-09-20/2020-01-15
jonnycampbell;2012-09-25/2012-10-24;2012-10-24/2020-01-15
achiurizo;2012-09-26/2012-10-04;2012-10-04/2012-10-21;2012-10-21/2012-10-27;2012-10-27/2020-01-15
lucaswilric;2012-09-29/2012-10-07;2012-10-07/2012-10-09;2012-10-09/2020-01-15
mmb;2012-10-02/2012-10-16;2012-10-16/2012-10-26;2012-10-27/2020-01-15
swalling;2012-10-03/2020-01-15
aaldrich;2012-10-04/2012-10-07;2012-10-07/2020-01-15
amatsuda;2012-10-08/2020-01-15
majormajors;2012-10-09/2020-01-15
Quintus;2012-10-12/2020-01-15
chrismlarson;2012-10-13/2020-01-15
mattheath;2012-10-16/2012-11-01;2012-11-01/2013-01-16;2013-01-16/2013-01-26;2013-01-26/2020-01-15
sevos;2012-10-16/2020-01-15
sn0opy;2012-10-18/2012-10-22;2012-10-22/2020-01-15
bval;2012-09-15/2012-10-23;2012-10-23/2012-10-27;2012-10-27/2013-05-17;2013-05-17/2020-01-15
mattsjohnston;2012-10-27/2012-11-06;2012-11-06/2020-01-15
aaronott;2012-10-28/2012-11-03;2012-11-03/2012-11-06;2012-11-07/2020-01-15
shtirlic;2012-10-28/2020-01-15
koriroys;2012-11-02/2020-01-15
carmstrong;2012-11-08/2012-11-12;2012-11-12/2012-11-24;2012-11-24/2012-12-15;2012-12-15/2020-01-15
commadelimited;2012-11-17/2012-12-03;2012-12-03/2012-12-17;2012-12-17/2012-12-21;2012-12-21/2013-03-26;2013-03-26/2013-08-04;2013-08-06/2013-08-09;2013-08-09/2020-01-15
brettporter;2012-11-20/2012-12-16;2012-12-17/2020-01-15
kristianfreeman;2012-11-20/2020-01-15
mkuipers;2012-11-22/2020-01-15
dzello;2012-11-23/2012-12-19;2012-12-19/2020-01-15
rkjaer;2012-11-24/2020-01-15
jmslagle;2012-11-28/2020-01-15
sumeetjain;2012-12-01/2020-01-15
jfriedlaender;2012-12-03/2014-03-26;2014-03-26/2020-01-15
parkr;2012-12-05/2014-02-05;2014-02-05/2014-02-13;2014-02-13/2014-04-15;2014-04-15/2020-01-15
dahbearz;2012-12-12/2012-12-22;2012-12-22/2020-01-15
voke;2012-12-12/2020-01-15
stephenway;2012-12-13/2020-01-15
mattikus;2012-12-13/2012-12-19;2012-12-19/2020-01-15
ngan;2012-12-14/2020-01-15
trey;2012-12-14/2020-01-15
cylence;2012-12-15/2020-01-15
pj4533;2012-12-15/2012-12-17;2012-12-17/2020-01-15
pyro2927;2012-12-15/2020-01-15
thallium205;2012-12-15/2020-01-15
Gussy;2012-12-16/2020-01-15
takashi;2012-12-18/2020-01-15
pellegrino;2012-12-19/2020-01-15
samn;2012-12-19/2020-01-15
MarkBorcherding;2012-12-23/2020-01-15
gtoroap;2012-12-29/2013-01-12;2013-01-12/2020-01-15
sshirokov;2012-12-29/2012-12-31;2012-12-31/2013-01-10;2013-01-11/2020-01-15
robertomiranda;2012-12-31/2020-01-15
sbryant;2013-01-01/2020-01-15
nebiros;2013-01-03/2020-01-15
objet;2013-01-07/2020-01-15
omega;2013-01-09/2020-01-15
lroggendorff;2013-01-09/2020-01-15
kyleslattery;2013-01-10/2020-01-15
nicosuave;2013-01-10/2020-01-15
erkattak;2013-01-11/2020-01-15
thedaniel;2013-01-12/2020-01-15
hmsk;2013-01-12/2020-01-15
tessalt;2013-01-16/2013-01-18;2013-01-18/2020-01-15
darvin;2013-01-16/2020-01-15
lopopolo;2013-01-16/2020-01-15
danthompson;2013-01-17/2020-01-15
mlocher;2013-01-23/2020-01-15
losingkeys;2013-01-23/2020-01-15
benhaan;2013-01-24/2020-01-15
mcdavis;2013-01-24/2020-01-15
luxflux;2013-01-26/2020-01-15
neilprosser;2013-01-27/2020-01-15
haf;2013-01-28/2013-03-26;2013-03-26/2020-01-15
tybenz;2013-01-28/2013-03-06;2013-03-06/2020-01-15
rh0;2013-01-29/2013-02-25;2013-02-25/2013-02-28;2013-02-28/2013-03-02;2013-03-03/2013-03-08;2013-03-08/2013-04-12;2013-04-12/2013-04-14;2013-04-16/2013-04-19;2013-04-19/2013-04-23;2013-04-25/2020-01-15
rasyidmujahid;2013-01-31/2020-01-15
robertfwest;2013-01-31/2013-06-11;2013-06-11/2020-01-15
ejfinneran;2013-01-31/2020-01-15
spajus;2013-02-02/2013-02-09;2013-02-09/2013-05-22;2013-05-22/2013-05-25;2013-05-26/2013-06-07;2013-06-07/2013-06-19;2013-06-21/2013-07-21;2013-07-21/2013-08-26;2013-08-27/2013-10-06;2013-10-06/2013-10-11;2013-10-11/2014-01-10;2014-01-10/2014-02-10;2014-02-10/2014-03-25;2014-03-25/2020-01-15
solap;2013-02-03/2013-02-05;2013-02-05/2020-01-15
sylturner;2013-02-04/2020-01-15
ivey;2013-02-07/2013-03-10;2013-03-10/2013-03-28;2013-03-28/2013-04-01;2013-04-01/2013-04-04;2013-04-04/2013-05-02;2013-05-02/2020-01-15
