login;commits;percentage
hemantgs;2;0.013020833333333334
dateri;2;0.013020833333333334
alchimos;2;0.013020833333333334
bquistorff;2;0.013020833333333334
jonathan-oliveira;2;0.013020833333333334
znuznu;2;0.013020833333333334
ddunig2;2;0.013020833333333334
conorfos;2;0.013020833333333334
harinda05;2;0.013020833333333334
brunaoo;2;0.013020833333333334
escoul;2;0.013020833333333334
vmichelan;2;0.013020833333333334
christina0114;2;0.013020833333333334
fly-ing-fish;2;0.013020833333333334
toromtomtom;2;0.013020833333333334
xdzhelheim;2;0.013020833333333334
tomlinn;2;0.013020833333333334
docrjp;2;0.013020833333333334
yang-xingyu;2;0.013020833333333334
thistestuser;2;0.013020833333333334
dinjerchang;2;0.013020833333333334
gpax971;2;0.013020833333333334
gradle-update-robot;2;0.013020833333333334
guyputs;2;0.013020833333333334
dertimme;2;0.013020833333333334
chiao26168;2;0.013020833333333334
pfvanbeerendonk;2;0.013020833333333334
cyraxsector;2;0.013020833333333334
solrex;2;0.013020833333333334
minhao037;2;0.013020833333333334
nasdas-dev;2;0.013020833333333334
lingzhang22;2;0.013020833333333334
daniel-price;2;0.013020833333333334
rmmsilva;2;0.013020833333333334
mrghabi;2;0.013020833333333334
sbeitzel;2;0.013020833333333334
mrcstan;2;0.013020833333333334
ryyyc;2;0.013020833333333334
ruoyu-qian;2;0.013020833333333334
motorcyclist;2;0.013020833333333334
robyquin;2;0.013020833333333334
ansell;2;0.013020833333333334
morganteg;2;0.013020833333333334
mpele;2;0.013020833333333334
ningxie1991;2;0.013020833333333334
niffler;2;0.013020833333333334
shitikanth;2;0.013020833333333334
landi29;2;0.013020833333333334
racheal7;2;0.013020833333333334
pjozeph;2;0.013020833333333334
nsmt09;2;0.013020833333333334
ohuang12;2;0.013020833333333334
ppd;2;0.013020833333333334
balhau;2;0.013020833333333334
tp-1000;3;0.01953125
faeludire;3;0.01953125
trvanrossum;3;0.01953125
ultimabgd;3;0.01953125
yurickyh;3;0.01953125
nrmancuso;3;0.01953125
premkolar;3;0.01953125
allisonsampaio;3;0.01953125
derebaba;3;0.01953125
wpoely86;3;0.01953125
yaragg;3;0.01953125
dimitrisdimos00;3;0.01953125
yinpeiqi;3;0.01953125
chel-seyy;3;0.01953125
jacobtrossing;3;0.01953125
mohamean;3;0.01953125
jensdoecke;3;0.01953125
javiermf;3;0.01953125
krausese;3;0.01953125
brainsucker92;3;0.01953125
brapana;3;0.01953125
thegor1lla;3;0.01953125
hiddevanesch;3;0.01953125
snisnisniksonah;3;0.01953125
braincident;3;0.01953125
sauliusg;3;0.01953125
svenjaeger;3;0.01953125
bshaq;3;0.01953125
fu188;3;0.01953125
michaellass;3;0.01953125
meltr;3;0.01953125
thilotee;3;0.01953125
mairieli;3;0.01953125
dextep;4;0.026041666666666668
leitianjian;4;0.026041666666666668
m-mauersberger;4;0.026041666666666668
davfon;4;0.026041666666666668
125m125;4;0.026041666666666668
r0light;4;0.026041666666666668
dawidm;4;0.026041666666666668
bjaroszkowski;4;0.026041666666666668
alex-petrov-vt;5;0.03255208333333333
steog88;5;0.03255208333333333
koji33;5;0.03255208333333333
dkokkotas;5;0.03255208333333333
ingvarjackal;5;0.03255208333333333
bruehldev;5;0.03255208333333333
was123;5;0.03255208333333333
ronaklakhotia;5;0.03255208333333333
vigneshdurairaj;5;0.03255208333333333
gena928;5;0.03255208333333333
tmrd993;5;0.03255208333333333
jakobewaldsson;5;0.03255208333333333
adamrehn;6;0.0390625
andrew-lev;6;0.0390625
0x002a;6;0.0390625
ka0o0;6;0.0390625
yennie02;6;0.0390625
kaiquekk;6;0.0390625
dimitra-karadima;6;0.0390625
kojiyokota;6;0.0390625
kolanich;6;0.0390625
dahlheim;6;0.0390625
mootezsaad;6;0.0390625
chenyuheng;7;0.045572916666666664
igorsteinmacher;7;0.045572916666666664
olenz;7;0.045572916666666664
samiyac;7;0.045572916666666664
steph37tours;7;0.045572916666666664
tolot27;7;0.045572916666666664
ambro2;7;0.045572916666666664
egonw;8;0.052083333333333336
florian-beetz;8;0.052083333333333336
antalk2;8;0.052083333333333336
btut;8;0.052083333333333336
abepolk;8;0.052083333333333336
zylence;8;0.052083333333333336
jtornero;9;0.05859375
b0n541;9;0.05859375
kubovy;9;0.05859375
halirutan;9;0.05859375
captaindavinci;9;0.05859375
systemoperator;10;0.06510416666666666
lim0000;10;0.06510416666666666
johannes-manner;11;0.07161458333333333
luggas4you;11;0.07161458333333333
papatekken;12;0.078125
chochreiner;12;0.078125
johahu;13;0.08463541666666667
github-actions[bot];13;0.08463541666666667
maryjml;14;0.09114583333333333
wuw;14;0.09114583333333333
aqurilla;14;0.09114583333333333
marisuki;15;0.09765625
frithnanth;16;0.10416666666666667
doharamadan;16;0.10416666666666667
tschechlovdev;16;0.10416666666666667
dragos222;17;0.11067708333333333
mlep;20;0.13020833333333331
dominikvoigt;20;0.13020833333333331
k3kaw8pnf7mkmdsmphz27;24;0.15625
obraliar;24;0.15625
grimes2;25;0.16276041666666669
ali96kz;27;0.17578125
boceckts;32;0.20833333333333334
colinhex;37;0.24088541666666669
mairdl;38;0.24739583333333331
hakova;39;0.25390625
chriba;43;0.2799479166666667
lyzardking;44;0.2864583333333333
zesaro;51;0.33203125
houssemnasri;55;0.35807291666666663
braunch;86;0.5598958333333334
davidemdot;88;0.5729166666666666
lenhard;94;0.6119791666666666
oscargus;178;1.1588541666666667
calixtus;272;1.7708333333333333
dependabot-preview[bot];273;1.77734375
linusdietz;280;1.8229166666666667
stefan-kolb;308;2.0052083333333335
matthiasgeiger;363;2.36328125
dependabot[bot];687;4.47265625
tobiasdiez;1059;6.894531249999999
mortenalver;1215;7.91015625
siedlerchr;1532;9.973958333333334
koppor;2122;13.815104166666666
